test machine time rows dataset matches distinct build prefetch table_size index_size scan_type caching run value nfound cost duration
btree-sort i5 1688023905 10000000 random 1000 10000 master 0 434783 8848 indexscan uncached 1 1557 1001 227.80 165.577000
btree-sort i5 1688023906 10000000 random 1000 10000 master 0 434783 8848 indexscan cached 1 1557 1001 227.80 8.915000
btree-sort i5 1688023906 10000000 random 1000 10000 master 0 434783 8848 bitmapscan uncached 1 715 1001 1164819.83 4304.752000
btree-sort i5 1688023910 10000000 random 1000 10000 master 0 434783 8848 bitmapscan cached 1 715 1001 1164819.83 3010.974000
btree-sort i5 1688023913 10000000 random 1000 10000 master 0 434783 8848 seqscan uncached 1 1512 1001 1024251.28 3182.377000
btree-sort i5 1688023917 10000000 random 1000 10000 master 0 434783 8848 seqscan cached 1 1512 1001 1024251.28 1736.542000
btree-sort i5 1688023919 10000000 random 1000 10000 master 0 434783 8848 indexscan uncached 2 2871 1001 265.95 165.484000
btree-sort i5 1688023920 10000000 random 1000 10000 master 0 434783 8848 indexscan cached 2 2871 1001 265.95 8.525000
btree-sort i5 1688023920 10000000 random 1000 10000 master 0 434783 8848 bitmapscan uncached 2 3654 1001 932967.06 3985.123000
btree-sort i5 1688023924 10000000 random 1000 10000 master 0 434783 8848 bitmapscan cached 2 3654 1001 932967.06 2603.308000
btree-sort i5 1688023927 10000000 random 1000 10000 master 0 434783 8848 indexscan uncached 3 5208 1001 384.47 169.424000
btree-sort i5 1688023927 10000000 random 1000 10000 master 0 434783 8848 indexscan cached 3 5208 1001 384.47 8.649000
btree-sort i5 1688023927 10000000 random 1000 10000 master 0 434783 8848 bitmapscan uncached 3 4095 1001 897974.71 3920.130000
btree-sort i5 1688023932 10000000 random 1000 10000 master 0 434783 8848 bitmapscan cached 3 4095 1001 897974.71 2541.457000
btree-sort i5 1688023934 10000000 random 1000 10000 master 0 434783 8848 indexscan uncached 4 7481 1001 710.03 170.772000
btree-sort i5 1688023935 10000000 random 1000 10000 master 0 434783 8848 indexscan cached 4 7481 1001 710.03 8.518000
btree-sort i5 1688023935 10000000 random 1000 10000 master 0 434783 8848 bitmapscan uncached 4 7217 1001 653100.07 3584.811000
btree-sort i5 1688023939 10000000 random 1000 10000 master 0 434783 8848 bitmapscan cached 4 7217 1001 653100.07 2109.739000
btree-sort i5 1688023941 10000000 random 1000 10000 master 0 434783 8848 indexscan uncached 5 8289 1001 1039.18 171.321000
btree-sort i5 1688023942 10000000 random 1000 10000 master 0 434783 8848 indexscan cached 5 8289 1001 1039.18 8.941000
btree-sort i5 1688023942 10000000 random 1000 10000 master 0 434783 8848 bitmapscan uncached 5 8162 1001 579938.65 3820.406000
btree-sort i5 1688023946 10000000 random 1000 10000 master 0 434783 8848 bitmapscan cached 5 8162 1001 579938.65 1949.067000
btree-sort i5 1688023948 10000000 random 1000 10000 master 32 434783 8848 indexscan uncached 1 1435 1001 224.99 164.917000
btree-sort i5 1688023949 10000000 random 1000 10000 master 32 434783 8848 indexscan cached 1 1435 1001 224.99 8.867000
btree-sort i5 1688023949 10000000 random 1000 10000 master 32 434783 8848 bitmapscan uncached 1 475 1001 1183810.37 7944.928000
btree-sort i5 1688023957 10000000 random 1000 10000 master 32 434783 8848 bitmapscan cached 1 475 1001 1183810.37 3307.734000
btree-sort i5 1688023961 10000000 random 1000 10000 master 32 434783 8848 seqscan uncached 1 873 1001 1060526.25 3483.999000
btree-sort i5 1688023965 10000000 random 1000 10000 master 32 434783 8848 seqscan cached 1 873 1001 1060526.25 1760.200000
btree-sort i5 1688023967 10000000 random 1000 10000 master 32 434783 8848 indexscan uncached 2 3242 1001 279.60 171.667000
btree-sort i5 1688023967 10000000 random 1000 10000 master 32 434783 8848 indexscan cached 2 3242 1001 279.60 8.646000
btree-sort i5 1688023967 10000000 random 1000 10000 master 32 434783 8848 bitmapscan uncached 2 3512 1001 943985.90 8002.251000
btree-sort i5 1688023976 10000000 random 1000 10000 master 32 434783 8848 bitmapscan cached 2 3512 1001 943985.90 2915.130000
btree-sort i5 1688023979 10000000 random 1000 10000 master 32 434783 8848 indexscan uncached 3 5307 1001 392.22 165.153000
btree-sort i5 1688023979 10000000 random 1000 10000 master 32 434783 8848 indexscan cached 3 5307 1001 392.22 8.639000
btree-sort i5 1688023979 10000000 random 1000 10000 master 32 434783 8848 bitmapscan uncached 3 4809 1001 841594.36 7005.483000
btree-sort i5 1688023987 10000000 random 1000 10000 master 32 434783 8848 bitmapscan cached 3 4809 1001 841594.36 2753.596000
btree-sort i5 1688023989 10000000 random 1000 10000 master 32 434783 8848 indexscan uncached 4 6962 1001 596.38 166.361000
btree-sort i5 1688023990 10000000 random 1000 10000 master 32 434783 8848 indexscan cached 4 6962 1001 596.38 8.671000
btree-sort i5 1688023990 10000000 random 1000 10000 master 32 434783 8848 bitmapscan uncached 4 6002 1001 747913.42 6847.647000
btree-sort i5 1688023997 10000000 random 1000 10000 master 32 434783 8848 bitmapscan cached 4 6002 1001 747913.42 2562.422000
btree-sort i5 1688024000 10000000 random 1000 10000 master 32 434783 8848 indexscan uncached 5 9974 1001 3903.83 164.728000
btree-sort i5 1688024001 10000000 random 1000 10000 master 32 434783 8848 indexscan cached 5 9974 1001 3903.83 8.650000
btree-sort i5 1688024001 10000000 random 1000 10000 master 32 434783 8848 bitmapscan uncached 5 8956 1001 517637.90 6254.379000
btree-sort i5 1688024007 10000000 random 1000 10000 master 32 434783 8848 bitmapscan cached 5 8956 1001 517637.90 1962.779000
btree-sort i5 1688024010 10000000 random 1000 10000 patched 0 434783 8848 indexscan uncached 1 229 1001 199.49 168.175000
btree-sort i5 1688024011 10000000 random 1000 10000 patched 0 434783 8848 indexscan cached 1 229 1001 199.49 8.572000
btree-sort i5 1688024011 10000000 random 1000 10000 patched 0 434783 8848 bitmapscan uncached 1 1776 1001 1080996.49 4165.414000
btree-sort i5 1688024015 10000000 random 1000 10000 patched 0 434783 8848 bitmapscan cached 1 1776 1001 1080996.49 2840.956000
btree-sort i5 1688024018 10000000 random 1000 10000 patched 0 434783 8848 seqscan uncached 1 211 1001 1096376.25 3204.364000
btree-sort i5 1688024022 10000000 random 1000 10000 patched 0 434783 8848 seqscan cached 1 211 1001 1096376.25 1812.602000
btree-sort i5 1688024024 10000000 random 1000 10000 patched 0 434783 8848 indexscan uncached 2 3945 1001 309.17 163.458000
btree-sort i5 1688024024 10000000 random 1000 10000 patched 0 434783 8848 indexscan cached 2 3945 1001 309.17 8.976000
btree-sort i5 1688024024 10000000 random 1000 10000 patched 0 434783 8848 bitmapscan uncached 2 2471 1001 1027385.77 4075.755000
btree-sort i5 1688024029 10000000 random 1000 10000 patched 0 434783 8848 bitmapscan cached 2 2471 1001 1027385.77 2772.516000
btree-sort i5 1688024032 10000000 random 1000 10000 patched 0 434783 8848 indexscan uncached 3 4283 1001 325.92 165.768000
btree-sort i5 1688024032 10000000 random 1000 10000 patched 0 434783 8848 indexscan cached 3 4283 1001 325.92 8.650000
btree-sort i5 1688024032 10000000 random 1000 10000 patched 0 434783 8848 bitmapscan uncached 3 4144 1001 894318.79 3956.855000
btree-sort i5 1688024037 10000000 random 1000 10000 patched 0 434783 8848 bitmapscan cached 3 4144 1001 894318.79 2565.108000
btree-sort i5 1688024039 10000000 random 1000 10000 patched 0 434783 8848 indexscan uncached 4 7762 1001 793.77 163.646000
